fajl;algoritmus;tipus;sulyozas;ladak_szama;futasi_ido_sec;osszesitett_nev;also_korlat;realtiv_elteres
3d_class6_1000_03.csv;dot_product1;lada;average;334;6,3969;dot_product1_lada_average;301;0,1096
3d_class1_1000_03.csv;dot_product2;lada;average;605;6,3867;dot_product2_lada_average;513;0,1793
3d_class6_1000_03.csv;dot_product1;lada;reciprocal_average;334;6,3746;dot_product1_lada_reciprocal_average;301;0,1096
3d_class3_1000_02.csv;dot_product2;lada;average;539;6,37;dot_product2_lada_average;503;0,0716
3d_class1_1000_04.csv;dot_product2;lada;reciprocal_average;597;6,342;dot_product2_lada_reciprocal_average;510;0,1706
3d_class6_1000_01.csv;dot_product1;lada;reciprocal_average;334;6,3415;dot_product1_lada_reciprocal_average;301;0,1096
3d_class6_1000_01.csv;dot_product1;lada;average;334;6,2486;dot_product1_lada_average;301;0,1096
3d_class2_1000_02.csv;l2_norm_of_slacks;lada;exponential;264;5,8843;l2_norm_of_slacks_lada_exponential;251;0,0518
3d_class2_1000_02.csv;l2_norm_of_slacks;lada;average;265;5,7722;l2_norm_of_slacks_lada_average;251;0,0558
3d_class2_1000_02.csv;l2_norm_of_slacks;lada;reciprocal_average;264;5,7399;l2_norm_of_slacks_lada_reciprocal_average;251;0,0518
3d_class2_1000_04.csv;dot_product1;lada;average;267;5,7016;dot_product1_lada_average;252;0,0595
3d_class2_1000_03.csv;l2_norm_of_slacks;lada;reciprocal_average;269;5,6602;l2_norm_of_slacks_lada_reciprocal_average;256;0,0508
3d_class2_1000_04.csv;l2_norm_of_slacks;lada;exponential;267;5,6529;l2_norm_of_slacks_lada_exponential;252;0,0595
3d_class2_1000_03.csv;l2_norm_of_slacks;lada;exponential;269;5,6354;l2_norm_of_slacks_lada_exponential;256;0,0508
3d_class2_1000_04.csv;dot_product1;lada;reciprocal_average;268;5,6321;dot_product1_lada_reciprocal_average;252;0,0635
3d_class2_1000_04.csv;l2_norm_of_slacks;lada;average;266;5,6291;l2_norm_of_slacks_lada_average;252;0,0556
3d_class2_1000_01.csv;l2_norm_of_slacks;lada;reciprocal_average;265;5,6242;l2_norm_of_slacks_lada_reciprocal_average;253;0,0474
3d_class2_1000_02.csv;dot_product1;lada;reciprocal_average;265;5,6194;dot_product1_lada_reciprocal_average;251;0,0558
3d_class2_1000_03.csv;dot_product1;lada;exponential;270;5,616;dot_product1_lada_exponential;256;0,0547
3d_class5_1000_01.csv;dot_product2;lada;average;402;5,61;dot_product2_lada_average;336;0,1964
3d_class2_1000_01.csv;l2_norm_of_slacks;lada;average;266;5,6056;l2_norm_of_slacks_lada_average;253;0,0514
3d_class2_1000_03.csv;dot_product1;lada;average;270;5,6034;dot_product1_lada_average;256;0,0547
